Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 104 NORTE;53001460;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 104, AREA ESPECIAL. ASA NORTE. 70733-000 Brasília - DF.";(61) 39017590;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7751187;-47.8837172
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 106 NORTE;53001478;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 106, S/N AREA ESPECIAL. ASA NORTE. 70742-000 Brasília - DF.";(61) 39017520;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.7691803;-47.8840242
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 108 SUL;53001486;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"SQS 108, AREA ESPECIAL. ASA SUL. 70347-000 Brasília - DF.";(61) 39011522;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.81711174;-47.90328952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 111 SUL;53001494;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 111, SN ASA SUL. 70374-000 Brasília - DF.";(61) 39012507;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8231771;-47.9120784
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 113 NORTE;53001508;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 113, AREA ESPECIAL. ASA NORTE. 70763-000 Brasília - DF.";(61) 39017522;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7473584;-47.8906043
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 114 SUL;53001516;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"SQS 114, S/N AREA ESPECIAL S/N. ASA SUL. 70377-000 Brasília - DF.";(61) 39012504;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8279352;-47.9196728
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 115 NORTE;53001524;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 115, AREA ESPECIAL. ASA NORTE. 70772-000 Brasília - DF.";(61) 39017523;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7410982;-47.892796
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 204 SUL;53001532;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 204, AREA ESPECIAL S/Nº. ASA SUL. 70234-000 Brasília - DF.";(61) 39011531;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.8115374;-47.8917656
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 206 SUL;53001540;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 206, 0 SEM NUMERO. ASA SUL. 70252-000 Brasília - DF.";(61) 39017692;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.8163291;-47.8965918
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 209 SUL;53001559;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 209 AREA ESPECIAL, ESCOLA. ASA SUL. 70272-000 Brasília - DF.";(61) 39018139;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-15.8215785;-47.9030536
